"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-07","   60","   70",,,,"0.00","   47","0.0","0.0",,"58","37","  360",,,,,"  315",,,,,,"23.0","    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-08","   10","   10",,,,"0.00","  100","0.0","0.0",,"75","30","  774",,,,,"  225",,,,,,"17.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-09","   40","   40",,,,"0.00","   78","0.0","0.0",,"84","57","  600",,,,,"  225",,,,,,"29.1",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-10","   10","   20",,,,"0.00","  100","0.0","0.0",,"75","48","  780",,,,,"  315",,,,,,"25.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-11","   10","    0",,,,"0.00","  100","0.0","0.0",,"66","35","  780",,,,,"   45",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-12","   50","   50",,,,"0.00","   95","0.0","0.0",,"63","36","  738",,,,,"   45",,,,,,"13.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-13","   90","   90",,,,"0.08","   51","0.0","0.0",,"67","39","  396",,,,,"   90",,,,,,"16.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-14","  100","  100",,,,"0.24","    4","0.0","0.0",,"53","47","   36",,,,,"  315",,,,,,"19.0","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-15","   80","  100",,,,"0.05","   15","0.0","0.0",,"60","45","  114",,,,,"   45",,,,,,"25.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-16","   20","    0",,,,"0.00","   95","0.0","0.0",,"74","41","  756",,,,,"  135",,,,,,"12.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-17","   70","   90",,,,"0.00","   58","0.0","0.0",,"73","43","  462",,,,,"  180",,,,,,"14.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-18","   30","   30",,,,"0.00","   97","0.0","0.0",,"79","49","  774",,,,,"  360",,,,,,"15.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-19","  100","  100",,,,"0.00","   18","0.0","0.0",,"60","48","  144",,,,,"  135",,,,,,"12.1",,,,,,,,,,,,,,"    1",,,,,,
